Population,Individual,L,R,Fruits,Bracts,Prop_fruits,MB
T22,1,4,8,18,109,0.165137615,0.5
T22,2,3,3,25,74,0.337837838,0
T22,3,4,7,17,30,0.566666667,0.428571429
T22,4,0,1,6,17,0.352941176,1
T22,5,3,3,12,21,0.571428571,0
T22,6,0,3,9,9,1,1
T22,7,3,2,21,39,0.538461538,0.333333333
T22,8,0,2,9,12,0.75,1
T22,9,3,5,33,35,0.942857143,0.4
T22,10,4,3,26,64,0.40625,0.25
T22,11,6,4,20,23,0.869565217,0.333333333
T22,12,2,4,30,45,0.666666667,0.5
T22,13,2,3,8,9,0.888888889,0.333333333
T22,14,1,6,7,42,0.166666667,0.833333333
T22,15,1,2,12,23,0.52173913,0.5
T22,16,4,1,12,14,0.857142857,0.75
T22,17,3,1,16,16,1,0.666666667
T22,18,1,2,21,25,0.84,0.5
T22,19,8,7,44,52,0.846153846,0.125
T22,20,7,7,57,94,0.606382979,0
T22,21,2,2,25,27,0.925925926,0
T22,22,1,1,17,21,0.80952381,0
T22,23,3,2,20,29,0.689655172,0.333333333
T22,24,0,4,31,35,0.885714286,1
T22,25,0,2,8,8,1,1
T22,26,0,3,16,24,0.666666667,1
T22,27,0,1,18,18,1,1
T22,28,0,1,6,6,1,1
T22,29,2,2,11,25,0.44,0
T22,30,2,2,10,16,0.625,0
T22,31,1,0,10,13,0.769230769,1
T22,32,0,1,9,19,0.473684211,1
T22,33,1,0,9,9,1,1
T24,1,2,1,19,42,0.452380952,0.5
T24,2,1,1,11,13,0.846153846,0
T24,3,4,2,4,17,0.235294118,0.5
T24,4,1,5,9,49,0.183673469,0.8
T24,5,1,4,28,45,0.622222222,0.75
T24,6,2,6,37,76,0.486842105,0.666666667
T24,7,3,3,23,60,0.383333333,0
T24,8,5,6,40,74,0.540540541,0.166666667
T24,9,1,2,17,26,0.653846154,0.5
T24,10,5,3,13,27,0.481481481,0.4
T24,11,1,2,6,17,0.352941176,0.5
T24,12,8,4,21,28,0.75,0.5
T24,13,1,3,6,46,0.130434783,0.666666667
T24,14,1,1,4,9,0.444444444,0
T24,16,4,4,68,95,0.715789474,0
T24,17,3,3,23,51,0.450980392,0
T24,19,7,6,14,60,0.233333333,0.142857143
T24,20,6,2,55,77,0.714285714,0.666666667
T24,21,8,5,32,130,0.246153846,0.375
T24,23,7,2,26,45,0.577777778,0.714285714
T24,24,2,1,9,15,0.6,0.5
T24,26,3,1,15,45,0.333333333,0.666666667
T24,30,2,1,45,54,0.833333333,0.5
G24,4,2,2,11,72,0.152777778,0
G24,5,1,1,2,2,1,0
G24,6,3,5,20,28,0.714285714,0.4
G24,7,2,4,10,15,0.666666667,0.5
G24,8,2,4,25,35,0.714285714,0.5
G24,9,1,1,2,6,0.333333333,0
G24,10,2,1,14,25,0.56,0.5
G24,13,3,6,17,58,0.293103448,0.5
G24,14,2,1,17,27,0.62962963,0.5
G24,15,2,1,11,16,0.6875,0.5
G24,16,4,1,19,35,0.542857143,0.75
G24,17,2,0,38,50,0.76,1
G24,18,1,4,36,44,0.818181818,0.75
G24,20,4,4,52,84,0.619047619,0
G24,21,1,1,5,9,0.555555556,0
G24,22,2,3,9,15,0.6,0.333333333
G24,23,1,0,5,9,0.555555556,1
G24,24,8,5,10,22,0.454545455,0.375
G24,25,1,1,17,22,0.772727273,0
G24,26,2,2,20,28,0.714285714,0
G24,27,3,4,23,55,0.418181818,0.25
G24,29,3,0,11,15,0.733333333,1
G24,30,0,2,8,18,0.444444444,1
T25,1,8,7,65,98,0.663265306,0.125
T25,2,7,3,24,44,0.545454545,0.571428571
T25,5,11,10,12,30,0.4,0.090909091
T25,6,3,1,11,18,0.611111111,0.666666667
T25,9,4,1,22,26,0.846153846,0.75
T25,12,0,3,36,39,0.923076923,1
T25,13,7,7,67,100,0.67,0
T25,14,1,4,91,100,0.91,0.75
T25,16,2,3,28,33,0.848484848,0.333333333
T25,17,4,2,33,47,0.70212766,0.5
T25,18,2,0,7,13,0.538461538,1
T25,40,3,1,9,11,0.818181818,0.666666667
T25,41,0,2,9,14,0.642857143,1
T25,42,4,1,12,15,0.8,0.75
G25,1,1,3,24,30,0.8,0.666666667
G25,2,8,5,71,93,0.76344086,0.375
G25,4,2,1,23,37,0.621621622,0.5
G25,7,7,4,35,54,0.648148148,0.428571429
G25,8,1,2,11,12,0.916666667,0.5
G25,9,10,6,48,87,0.551724138,0.4
G25,10,3,2,5,28,0.178571429,0.333333333
G25,11,4,1,19,39,0.487179487,0.75
G25,12,0,4,16,28,0.571428571,1
G25,13,2,0,19,62,0.306451613,1
G25,17,6,7,33,48,0.6875,0.142857143
G25,21,2,3,10,22,0.454545455,0.333333333
G25,25,0,2,15,28,0.535714286,1
G25,27,0,2,6,8,0.75,1
G25,29,1,1,7,30,0.233333333,0
G25,31,0,1,6,6,1,1
