Population,Year,Individual_ID,Inflorescence_ID,L,R,MR
Takdah,T22,1,1,0,2,0
Takdah,T22,1,2,1,4,0.2
Takdah,T22,1,3,0,1,0
Takdah,T22,1,4,2,0,1
Takdah,T22,1,5,1,0,1
Takdah,T22,1,6,0,1,0
Takdah,T22,2,1,0,2,0
Takdah,T22,2,2,1,0,1
Takdah,T22,2,3,0,1,0
Takdah,T22,2,4,1,0,1
Takdah,T22,2,5,1,0,1
Takdah,T22,3,1,1,1,0.5
Takdah,T22,3,2,0,2,0
Takdah,T22,3,3,2,2,0.5
Takdah,T22,3,4,1,2,0.333333333
Takdah,T22,4,1,0,1,0
Takdah,T22,5,1,3,3,0.5
Takdah,T22,6,1,0,3,0
Takdah,T22,7,1,0,1,0
Takdah,T22,7,2,1,0,1
Takdah,T22,7,3,1,1,0.5
Takdah,T22,7,4,1,0,1
Takdah,T22,8,1,0,2,0
Takdah,T22,9,1,1,4,0.2
Takdah,T22,9,2,1,0,1
Takdah,T22,9,3,1,1,0.5
Takdah,T22,10,1,3,1,0.75
Takdah,T22,10,2,1,1,0.5
Takdah,T22,10,3,0,1,0
Takdah,T22,11,1,6,4,0.6
Takdah,T22,12,1,2,4,0.333333333
Takdah,T22,13,1,2,3,0.4
Takdah,T22,14,1,0,2,0
Takdah,T22,14,2,0,1,0
Takdah,T22,14,3,1,1,0.5
Takdah,T22,14,4,0,1,0
Takdah,T22,14,5,0,1,0
Takdah,T22,15,1,0,1,0
Takdah,T22,15,2,1,0,1
Takdah,T22,15,3,0,1,0
Takdah,T22,16,1,1,0,1
Takdah,T22,16,2,2,1,0.666666667
Takdah,T22,16,3,1,0,1
Takdah,T22,17,1,1,0,1
Takdah,T22,17,2,2,1,0.666666667
Takdah,T22,18,1,1,2,0.333333333
Takdah,T22,19,1,1,0,1
Takdah,T22,19,2,3,5,0.375
Takdah,T22,19,3,1,1,0.5
Takdah,T22,19,4,3,1,0.75
Takdah,T22,20,1,0,2,0
Takdah,T22,20,2,5,3,0.625
Takdah,T22,20,3,2,0,1
Takdah,T22,20,4,0,2,0
Takdah,T22,21,1,2,1,0.666666667
Takdah,T22,21,2,0,1,0
Takdah,T22,22,1,1,1,0.5
Takdah,T22,23,1,0,1,0
Takdah,T22,23,2,0,1,0
Takdah,T22,23,3,3,0,1
Takdah,T22,24,1,0,1,0
Takdah,T22,24,2,0,1,0
Takdah,T22,24,3,0,1,0
Takdah,T22,24,4,0,1,0
Takdah,T22,25,1,0,2,0
Takdah,T22,26,1,0,1,0
Takdah,T22,26,2,0,1,0
Takdah,T22,26,3,0,1,0
Takdah,T22,27,1,0,1,0
Takdah,T22,28,1,0,1,0
Takdah,T22,29,1,1,2,0.333333333
Takdah,T22,29,2,1,0,1
Takdah,T22,30,1,2,2,0.5
Takdah,T22,31,2,1,0,1
Takdah,T22,32,1,0,1,0
Takdah,T22,33,1,1,0,1
