Population,Rep,Plot,Plant,Recipient,Donor,Count
Takdah,1,I,2,L,L,1
Takdah,1,I,2,L,R,0
Takdah,1,I,4,L,L,0
Takdah,1,I,4,L,R,17
Takdah,1,I,5,L,L,0
Takdah,1,I,5,L,R,6
Takdah,1,I,5,R,L,0
Takdah,1,I,5,R,R,5
Takdah,1,I,5,L,L,3
Takdah,1,I,5,L,R,9
Takdah,1,I,5,L,L,0
Takdah,1,I,5,L,R,22
Takdah,1,I,5,L,L,1
Takdah,1,I,5,L,R,19
Takdah,1,I,5,R,L,3
Takdah,1,I,5,R,R,0
Takdah,1,I,5,R,L,11
Takdah,1,I,5,R,R,0
Takdah,1,I,5,L,L,0
Takdah,1,I,5,L,R,42
Takdah,1,I,6,R,L,2
Takdah,1,I,6,R,R,0
Takdah,1,I,6,L,L,0
Takdah,1,I,6,L,R,2
Takdah,1,I,6,R,L,11
Takdah,1,I,6,R,R,1
Takdah,1,I,7,L,L,8
Takdah,1,I,7,L,R,0
Takdah,1,I,7,R,L,11
Takdah,1,I,7,R,R,0
Takdah,1,I,7,L,L,0
Takdah,1,I,7,L,R,16
Takdah,2,II,14,R,L,8
Takdah,2,II,14,R,R,0
Takdah,2,II,14,L,L,17
Takdah,2,II,14,L,R,0
Takdah,2,II,14,L,L,5
Takdah,2,II,14,L,R,0
Takdah,2,II,15,R,L,7
Takdah,2,II,15,R,R,0
Takdah,2,II,15,L,L,2
Takdah,2,II,15,L,R,20
Takdah,2,II,16,L,L,0
Takdah,2,II,16,L,R,8
Takdah,3,III,17,L,L,0
Takdah,3,III,17,L,R,3
Takdah,3,III,17,R,L,7
Takdah,3,III,17,R,R,0
Takdah,3,III,17,L,L,1
Takdah,3,III,17,L,R,0
Takdah,3,III,17,L,L,1
Takdah,3,III,17,L,R,3
Takdah,3,III,17,L,L,0
Takdah,3,III,17,L,R,4
Takdah,3,III,17,R,L,8
Takdah,3,III,17,R,R,0
Takdah,3,III,17,R,L,3
Takdah,3,III,17,R,R,0
Takdah,3,III,17,R,L,5
Takdah,3,III,17,R,R,0
Takdah,3,III,18,R,L,7
Takdah,3,III,18,R,R,0
Takdah,3,III,18,R,L,1
Takdah,3,III,18,R,R,0
Takdah,3,III,19,L,L,0
Takdah,3,III,19,L,R,6
Takdah,3,III,19,L,L,2
Takdah,3,III,19,L,R,1
Takdah,3,III,20,L,L,0
Takdah,3,III,20,L,R,7
