Bee_ID,Part,Position,Morph,Count
1,Proximal,L-Pro,L,79
1,Proximal,L-Pro,R,41
1,Distal,L-Dist,L,0
1,Distal,L-Dist,R,0
1,Proximal,R-Pro,L,0
1,Proximal,R-Pro,R,418
1,Distal,R-Dist,L,0
1,Distal,R-Dist,R,0
2,Proximal,L-Pro,L,425
2,Proximal,L-Pro,R,27
2,Distal,L-Dist,L,0
2,Distal,L-Dist,R,0
2,Proximal,R-Pro,L,0
2,Proximal,R-Pro,R,15
2,Distal,R-Dist,L,0
2,Distal,R-Dist,R,0
3,Proximal,L-Pro,L,335
3,Proximal,L-Pro,R,41
3,Distal,L-Dist,L,39
3,Distal,L-Dist,R,4
3,Proximal,R-Pro,L,41
3,Proximal,R-Pro,R,346
3,Distal,R-Dist,L,10
3,Distal,R-Dist,R,21
4,Proximal,L-Pro,L,66
4,Proximal,L-Pro,R,49
4,Distal,L-Dist,L,11
4,Distal,L-Dist,R,0
4,Proximal,R-Pro,L,14
4,Proximal,R-Pro,R,256
4,Distal,R-Dist,L,11
4,Distal,R-Dist,R,0
5,Proximal,L-Pro,L,105
5,Proximal,L-Pro,R,13
5,Distal,L-Dist,L,0
5,Distal,L-Dist,R,0
5,Proximal,R-Pro,L,3
5,Proximal,R-Pro,R,206
5,Distal,R-Dist,L,0
5,Distal,R-Dist,R,0
6,Proximal,L-Pro,L,307
6,Proximal,L-Pro,R,10
6,Distal,L-Dist,L,0
6,Distal,L-Dist,R,0
6,Proximal,R-Pro,L,25
6,Proximal,R-Pro,R,380
6,Distal,R-Dist,L,0
6,Distal,R-Dist,R,0
7,Proximal,L-Pro,L,100
7,Proximal,L-Pro,R,3
7,Distal,L-Dist,L,0
7,Distal,L-Dist,R,0
7,Proximal,R-Pro,L,14
7,Proximal,R-Pro,R,245
7,Distal,R-Dist,L,0
7,Distal,R-Dist,R,0
8,Proximal,L-Pro,L,141
8,Proximal,L-Pro,R,7
8,Distal,L-Dist,L,0
8,Distal,L-Dist,R,0
8,Proximal,R-Pro,L,17
8,Proximal,R-Pro,R,223
8,Distal,R-Dist,L,0
8,Distal,R-Dist,R,4
9,Proximal,L-Pro,L,267
9,Proximal,L-Pro,R,0
9,Distal,L-Dist,L,0
9,Distal,L-Dist,R,0
9,Proximal,R-Pro,L,2
9,Proximal,R-Pro,R,342
9,Distal,R-Dist,L,0
9,Distal,R-Dist,R,0
10,Proximal,L-Pro,L,162
10,Proximal,L-Pro,R,9
10,Distal,L-Dist,L,0
10,Distal,L-Dist,R,0
10,Proximal,R-Pro,L,6
10,Proximal,R-Pro,R,287
10,Distal,R-Dist,L,0
10,Distal,R-Dist,R,0
