Type,Cross,Treatment,Plant ID,Morph,Seed count
Inter,Outcrossing,Inter-out,1,R,2534
Inter,Outcrossing,Inter-out,4,R,1735
Inter,Outcrossing,Inter-out,5,R,1064
Inter,Outcrossing,Inter-out,6,R,165
Inter,Outcrossing,Inter-out,7,R,3533
Inter,Outcrossing,Inter-out,8,L,1613
Inter,Outcrossing,Inter-out,9,L,3931
Inter,Outcrossing,Inter-out,9,R,3477
Inter,Outcrossing,Inter-out,10,L,2718
Inter,Outcrossing,Inter-out,12,L,1608
Inter,Outcrossing,Inter-out,13,L,1329
Inter,Outcrossing,Inter-out,14,L,3698
Inter,Outcrossing,Inter-out,15,L,230
Inter,Outcrossing,Inter-out,15,R,78
Inter,Outcrossing,Inter-out,16,L,2031
Inter,Outcrossing,Inter-out,17,R,2414
Inter,Outcrossing,Inter-out,18,L,3033
Inter,Outcrossing,Inter-out,19,R,1496
Inter,Outcrossing,Inter-out,22,L,2831
Inter,Outcrossing,Inter-out,23,L,1298
Inter,Outcrossing,Inter-out,24,R,1846
Inter,Outcrossing,Inter-out,26,L,1776
Inter,Outcrossing,Inter-out,26,R,4251
Inter,Outcrossing,Inter-out,27,L,2258
Inter,Outcrossing,Inter-out,28,R,2241
Intra,Outcrossing,Intra-out,31,L,1798
Intra,Outcrossing,Intra-out,32,R,973
Intra,Outcrossing,Intra-out,34,L,436
Intra,Outcrossing,Intra-out,35,L,2467
Intra,Outcrossing,Intra-out,36,L,2978
Intra,Outcrossing,Intra-out,37,L,3039
Intra,Outcrossing,Intra-out,38,L,2153
Intra,Outcrossing,Intra-out,39,R,1249
Intra,Outcrossing,Intra-out,39,L,2193
Intra,Outcrossing,Intra-out,40,R,1253
Intra,Outcrossing,Intra-out,40,L,1499
Intra,Outcrossing,Intra-out,41,R,3250
Intra,Outcrossing,Intra-out,42,R,658
Intra,Outcrossing,Intra-out,44,R,1073
Intra,Outcrossing,Intra-out,48,L,2477
Intra,Outcrossing,Intra-out,50,L,727
Intra,Outcrossing,Intra-out,51,L,1748
Intra,Outcrossing,Intra-out,56,R,1222
Intra,Outcrossing,Intra-out,58,L,64
Intra,Outcrossing,Intra-out,59,R,117
Intra,Outcrossing,Intra-out,59,R,98
Inter,Selfing,Inter-geit,60,L,1569
Inter,Selfing,Inter-geit,62,R,1613
Inter,Selfing,Inter-geit,63,R,2156
Inter,Selfing,Inter-geit,63,R,2289
Inter,Selfing,Inter-geit,64,L,2915
Inter,Selfing,Inter-geit,65,R,3077
Inter,Selfing,Inter-geit,67,L,2628
Inter,Selfing,Inter-geit,68,R,1744
Inter,Selfing,Inter-geit,68,L,1754
Inter,Selfing,Inter-geit,69,L,2923
Inter,Selfing,Inter-geit,69,R,3017
Inter,Selfing,Inter-geit,70,R,2101
Inter,Selfing,Inter-geit,70,L,1575
Inter,Selfing,Inter-geit,71,L,2295
Inter,Selfing,Inter-geit,72,R,2193
Inter,Selfing,Inter-geit,74,R,2524
Inter,Selfing,Inter-geit,74,R,2697
Inter,Selfing,Inter-geit,75,L,536
Inter,Selfing,Inter-geit,75,R,1043
Inter,Selfing,Inter-geit,76,L,2224
Inter,Selfing,Inter-geit,79,L,871
Inter,Selfing,Inter-geit,82,R,2012
Inter,Selfing,Inter-geit,82,R,1758
Intra,Selfing,Intra-geit,87,L,2924
Intra,Selfing,Intra-geit,88,L,1526
Intra,Selfing,Intra-geit,89,R,1838
Intra,Selfing,Intra-geit,90,R,2443
Intra,Selfing,Intra-geit,91,L,2038
Intra,Selfing,Intra-geit,92,L,2054
Intra,Selfing,Intra-geit,92,L,2153
Intra,Selfing,Intra-geit,93,L,16
Intra,Selfing,Intra-geit,96,L,3530
Intra,Selfing,Intra-geit,97,R,2676
Intra,Selfing,Intra-geit,97,R,627
Intra,Selfing,Intra-geit,98,L,132
Intra,Selfing,Intra-geit,98,L,2681
Intra,Selfing,Intra-geit,99,L,1683
Intra,Selfing,Intra-geit,109,L,139
